,Time,$N$,$E$,$D$,$\phi$,$\theta$,$\psi$,$u$,$v$,$w$,$p$,$q$,$r$,$\eta$,$\delta_r$,$\delta_s$,$\F_4$,$\tilde{u}$,$\tilde{\chi}$,e,$\tilde{\upsilon}$,h,$u_c$,$v_c$,$w_c$
90,4.55,56.74067585845802,0.4424726789727589,51.8384137849416,-1.911826824015977,-0.4229815844330709,-2.122724560884131,-7.89502014090582,-24.185894522142814,23.219296132403453,-0.20927853496974463,0.1845502344946729,-0.26156771387904904,0.2030988559126854,0.20553083717823029,0.20219320803880692,0.20718202739953995,1.0,0.027521046171616752,0.6475130123839226,-0.5797307396574427,51.315851016863924,0.0,0.0,0.0
91,4.6000000000000005,58.36717731574106,0.22586538778745957,52.36151574940545,-1.920345219770288,-0.4383930115330643,-2.127464197007376,-7.693679167078042,-24.607408165310524,23.151339262368374,-0.19833012673772576,0.18293861676836898,-0.25887235309928674,0.20284263789653778,0.20492349565029144,0.20197290927171707,0.20663045346736908,1.0,0.004469206338713663,0.4424726789727589,-0.5796347214452957,51.8384137849416,0.0,0.0,0.0
92,4.65,60.00267369256108,-0.001944955741094767,52.88592819418864,-1.9283109996570809,-0.4536864798206608,-2.1320597103824075,-7.48546927937117,-25.024667135831674,23.080703227767277,-0.18710491450851893,0.18133299118211255,-0.2564154585823418,0.20253697782754898,0.20430509001016617,0.20170243084430695,0.20607655495405197,1.0,-0.02013439362448733,0.22586538778745957,-0.5796129628897676,52.36151574940545,0.0,0.0,0.0
93,4.7,61.646851509839955,-0.2405459631242306,53.4124370328072,-1.9357125059191185,-0.4688694362775312,-2.1365174322049523,-7.270491933331905,-25.437669855354425,23.00769028844387,-0.17558413179645627,0.17973387650954178,-0.25416629221290366,0.20217327028512955,0.2036653384566307,0.20137368142604828,0.20550452917814255,1.0,-0.04607886688254982,-0.001944955741094767,-0.5796504526292067,52.88592819418864,0.0,0.0,0.0
94,4.75,63.29942017605138,-0.48947478320474425,53.941845692132425,-1.9425365907028525,-0.4839480454678817,-2.140844090536427,-7.048845763836541,-25.846422912150494,22.932598243192665,-0.1637816396646911,0.17814333056824413,-0.25209704842418446,0.20174454152584076,0.20299706608057022,0.20098015666007996,0.20490074157714844,1.0,-0.07305793191224035,-0.2405459631242306,-0.5797344233611067,53.4124370328072,0.0,0.0,0.0
95,4.800000000000001,64.96011102696558,-0.7482172415723054,54.474975979470564,-1.9487701769849897,-0.498927359789167,-2.1450469498044114,-6.8206271678214785,-26.25094078462565,22.855721597994986,-0.15174655340353357,0.1765653341232971,-0.2501823088154198,0.20124591886997223,0.20229613780975342,0.2005174309015274,0.20425406098365784,1.0,-0.10067970181969503,-0.48947478320474425,-0.5798549498801203,53.941845692132425,0.0,0.0,0.0
96,4.8500000000000005,66.62867674352465,-1.016208568688603,55.01266663414821,-1.9544019422947512,-0.5138114769091784,-2.149133946727456,-6.585930798862874,-26.651245309113495,22.777352458188272,-0.13956341248201518,0.17500607009865554,-0.24839868452399982,0.20067565888166428,0.20156199485063553,0.19998416304588318,0.20355688780546188,1.0,-0.12849247416736012,-0.7482172415723054,-0.5800053970436465,54.474975979470564,0.0,0.0,0.0
97,4.9,68.30489105910844,-1.2928361209851609,55.55576941501809,-1.9594240074079772,-0.5286036903915137,-2.153113814397902,-6.344849980973137,-27.047364853893594,22.697780895871166,-0.12734654046335678,0.17347362550901657,-0.2467246821150185,0.20003563910722733,0.20079723000526428,0.1993824765086174,0.20280589163303375,1.0,-0.1560234573261574,-1.016208568688603,-0.5801825597292242,55.01266663414821,0.0,0.0,0.0
98,4.95,69.98854864924529,-1.5774443665021476,56.10514276421016,-1.9638333578903397,-0.5433066314272463,-2.156996161086969,-6.097477046461781,-27.439333189673736,22.6172948456242,-0.11523117036410077,0.17197637864911083,-0.24514096286147846,0.19933205097913742,0.2000073418021202,0.19871840626001358,0.2020024135708809,1.0,-0.18282262230335802,-1.2928361209851609,-0.5803863942910925,55.55576941501809,0.0,0.0,0.0
99,5.0,71.679465070157,-1.8693420432116672,56.66164348273855,-1.9676328793534401,-0.5579223916315619,-2.160791429097313,-5.8439036037152015,-27.827188102499132,22.53617957144748,-0.10335978327990022,0.17052383814781424,-0.24363029804080738,0.19857501983642578,0.19920051097869873,0.19800203293561935,0.2011532038450241,1.0,-0.20850179037755137,-1.5774443665021476,-0.5806193814987576,56.10514276421016,0.0,0.0,0.0
